file,desk,box_mac,box,cfg_selector,cfg_byte7,cfg_in,cfg_out,cfea_width,up_nch,enroll_in_out,chanmap,grant_base,grant_span,contiguous,live_edit_ch
m200-BIDIR-coldboot-2026-07-11.pcap,M-200i,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,"40,8",1i/4o,0x00-0x2f/48,0x00,8,True,
m200-probing-nobox-2026-07-11.pcap,M-200i,,,,,,,8,40,,0x15-0x1c/8,,,,
m200-s0808-establish-switch-2026-07-11.pcap,M-200i,"00:40:ab:c4:80:3b,00:40:ab:c4:dc:9c","S-0808,S-1608",0x84,0x00,8,8,"16,8",,1i/4o,0x00-0x2f/48,0x00,8,True,
m200-s1608-BIDIR-coldboot-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,,,,,16,"16,40",,0x00-0x2f/48,,,,
m200-s1608-BIDIR-establish-2026-07-11.pcap,M-200i,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,"40,8",1i/4o,0x00-0x2f/48,0x00,8,True,
m200-s1608-BIDIR-reboot-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8","16,40",,0x00-0x2f/48,0x20,16,True,
m200-s1608-boxB-synced-2026-07-11.pcap,M-200i,,,,,,,16,40,,0x0e-0x2d/32,,,,
m200-s1608-establish-2026-07-10.pcap,"M-200i,M-300",00:40:ab:c4:80:3b,S-1608,,,,,"16,8","16,18",,0x00-0x2f/48,0x20,16,True,
m200-s1608-establish-switch-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8","16,40",,0x00-0x28/41,0x20,16,True,
m200-s1608-handshake-ctrl-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8",16,,0x00-0x28/41,0x20,16,True,
m200-s1608-realbox-establish-2026-07-11.pcap,M-200i,,,,,,,"16,8","16,18",,0x00-0x2f/48,0x20,16,True,
m200-s1608-realbox-unicast-2026-07-11.pcap,M-200i,,,,,,,16,18,,0x00-0x2f/48,,,,
m300-coldboot-mirror-2026-07-10.pcap,M-300,,,,,,,"16,8","16,18,8",,0x00-0x2f/48,0x20,16,True,
m300-s1608-coldboot-mirror-2026-07-10.pcap,M-300,,,,,,,"16,8","16,18",,0x00-0x2f/48,0x20,16,True,
m300-s1608-coldconnect-mirror-2026-07-10.pcap,M-300,,,,,,,"16,8","16,18",,0x00-0x2f/48,0x20,16,True,
m300-s1608-establish-2026-07-10.pcap,M-300,,,,,,,8,18,,0x00-0x2f/48,,,,
matrix-m200-s0808-2026-07-11.pcap,M-200i,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,,1i/4o,0x00-0x2f/48,0x00,8,True,
matrix-m200-s1608-2026-07-11.pcap,M-200i,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8",,,0x00-0x2f/48,0x20,16,True,
matrix-m200-s4000-2026-07-24.pcap,M-200i,00:40:ab:c4:08:bc,S-4000S#2,0x84,0x00,32,8,"32,8","32,40,8",4i/1o,0x00-0x2f/48,0x00,32,True,
matrix-m200-s4000-coldconnect-2026-07-24.pcap,M-200i,00:40:ab:c4:08:bc,S-4000S#2,0x84,0x00,32,8,"32,8","32,40,8",4i/1o,0x07-0x16/16,0x00,32,True,
matrix-m300-s0808-2026-07-11.pcap,M-300,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,,1i/4o,0x00-0x2f/48,0x00,8,True,
matrix-m300-s1608-2026-07-11.pcap,M-300,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"16,8",,,0x00-0x2f/48,0x20,16,True,
matrix-m5000-s0808-2026-07-11.pcap,M-5000,00:40:ab:c4:dc:9c,S-0808,0x84,0x00,8,8,8,,1i/4o,0x00-0x2f/48,0x00,8,True,
matrix-m5000-s1608-2026-07-11.pcap,M-5000,00:40:ab:c4:80:3b,S-1608,0x82,0x02,16,8,"0,16,8",,,0x00-0x2f/48,0x20,16,True,
matrix-m5000-s4000-unit1-coldconnect-2026-07-11.pcap,M-5000,00:40:ab:c4:06:80,S-4000S#1,0x84,0x00,32,8,"32,8",,4i/1o,0x00-0x2f/48,0x00,32,True,
matrix-m5000-s4000-unit2-coldconnect-2026-07-11.pcap,M-5000,00:40:ab:c4:08:bc,S-4000S#2,0x84,0x00,32,8,"32,8",,4i/1o,0x00-0x2f/48,0x00,32,True,
reac-jitter-sample.pcap,?00:40:ab:ca:15:4d,00:40:ab:c4:dc:9c,S-0808,,,,,8,,,0x00-0x07/8,,,,
reacpw-s1608-cfeatiming-2026-07-18.pcap,M-200i,00:40:ab:c4:80:41,reac-pw(slave stand-in),0x82,0x02,16,8,"16,8",,1i/4o,0x00-0x2f/48,0x20,16,True,
reacpw-s1608-establish-2026-07-18.pcap,M-200i,00:40:ab:c4:80:41,reac-pw(slave stand-in),0x82,0x02,16,8,"16,7,8",,1i/4o,0x00-0x2f/48,0x20,16,True,
